title,company,location,skills,link,salary_min,salary_max,mid_salary,is_remote,has_english
BI/Data Analyst,Innowise,Warszawa,"['Data', 'BI', 'SQL', 'Python']",/pl/job/bi-data-analyst-innowise-warszawa-1,,,,False,False
Data Visualization Analyst,Verita HR,Kraków,"['Data', 'SQL', 'Data visualization', 'Dashboarding']",/pl/job/data-visualization-analyst-verita-hr-krakow,25000.0,29000.0,27000.0,False,False
"Data Analyst (Process Mining, BI)",Capgemini,Kraków,"['Data', 'BI', 'Data visualization', 'SAP']",/pl/job/data-analyst-process-mining-bi-capgemini-krakow,,,,False,False
Data Analyst,Verita HR,Kraków,"['Data', 'SQL', 'Data visualization', 'Dashboarding']",/pl/job/data-analyst-verita-hr-krakow-2,25000.0,29000.0,27000.0,False,False
Business Data Analyst,Holisticon Connect,Zdalnie,"['Business Analysis', 'Data analytics', 'BI', 'Power BI']",/pl/job/business-data-analyst-holisticon-connect-remote,18480.0,23520.0,21000.0,True,False
Senior Product Analyst  NOWA,Xebia sp. z o.o.,Zdalnie,"['Business Analysis', 'SQL', 'Python', 'Data analysis']",/pl/job/senior-product-analyst-xebia-remote-1,21840.0,30240.0,26040.0,True,False
Lead Analytics Consultant  NOWA,Xebia sp. z o.o.,Zdalnie,"['Data', 'Python', 'Spark', 'Azure']",/pl/job/lead-analytics-consultant-xebia-remote-2,18480.0,31920.0,25200.0,True,False
Business Expert – Risk Analytics (m/f/d),CommerzBank,Łódź,"['Business Analysis', 'Degree', 'GRC', 'SQL']",/pl/job/business-expert-risk-analytics-m-f-d-commerzbank-lodz,,,,False,False
Data & Analytics Consultant (Databricks / Azure),Appstronauts,Zdalnie,"['Data', 'Apache', 'Spark', 'SQL']",/pl/job/data-analytics-consultant-databricks-azure-appstronauts-remote,18480.0,26040.0,22260.0,True,False
Analityk/-czka Danych - Dział Analiz i Rozwoju Danych,T-Mobile Polska,Warszawa,"['Data', 'System analyst', 'SQL', 'BigQuery']",/pl/job/analityk-czka-danych-dzial-analiz-i-rozwoju-danych-t-mobile-polska-warszawa,,,,False,False
People Analytics Specialist (Data & Strategy),Antal,Wrocław,"['HR', 'Business Intelligence', 'Data analytics', 'HR analytics']",/pl/job/people-analytics-specialist-data-strategy-antal-wroclaw,,,,False,False
Data & Business Analytics Consultant (Controlling),Elitmind,Zdalnie,"['Data', 'System analysis', 'AI', 'Data analysis']",/pl/job/data-business-analytics-consultant-controlling-elitmind-remote,16800.0,25200.0,21000.0,True,False
"Data Analyst (Process Mining, BI)",Capgemini,Kraków,"['Data', 'BI', 'Data visualization', 'SAP']",/pl/job/data-analyst-process-mining-bi-capgemini-krakow,,,,False,False
Data Analyst,Verita HR,Kraków,"['Data', 'SQL', 'Data visualization', 'Dashboarding']",/pl/job/data-analyst-verita-hr-krakow-2,25000.0,29000.0,27000.0,False,False
Business Data Analyst,Holisticon Connect,Zdalnie,"['Business Analysis', 'Data analytics', 'BI', 'Power BI']",/pl/job/business-data-analyst-holisticon-connect-remote,18480.0,23520.0,21000.0,True,False
Senior Product Analyst  NOWA,Xebia sp. z o.o.,Zdalnie,"['Business Analysis', 'SQL', 'Python', 'Data analysis']",/pl/job/senior-product-analyst-xebia-remote-1,21840.0,30240.0,26040.0,True,False
Lead Analytics Consultant  NOWA,Xebia sp. z o.o.,Zdalnie,"['Data', 'Python', 'Spark', 'Azure']",/pl/job/lead-analytics-consultant-xebia-remote-2,18480.0,31920.0,25200.0,True,False
Business Expert – Risk Analytics (m/f/d),CommerzBank,Łódź,"['Business Analysis', 'Degree', 'GRC', 'SQL']",/pl/job/business-expert-risk-analytics-m-f-d-commerzbank-lodz,,,,False,False
Data & Analytics Consultant (Databricks / Azure),Appstronauts,Zdalnie,"['Data', 'Apache', 'Spark', 'SQL']",/pl/job/data-analytics-consultant-databricks-azure-appstronauts-remote,18480.0,26040.0,22260.0,True,False
Analityk/-czka Danych - Dział Analiz i Rozwoju Danych,T-Mobile Polska,Warszawa,"['Data', 'System analyst', 'SQL', 'BigQuery']",/pl/job/analityk-czka-danych-dzial-analiz-i-rozwoju-danych-t-mobile-polska-warszawa,,,,False,False
People Analytics Specialist (Data & Strategy),Antal,Wrocław,"['HR', 'Business Intelligence', 'Data analytics', 'HR analytics']",/pl/job/people-analytics-specialist-data-strategy-antal-wroclaw,,,,False,False
Data & Business Analytics Consultant (Controlling),Elitmind,Zdalnie,"['Data', 'System analysis', 'AI', 'Data analysis']",/pl/job/data-business-analytics-consultant-controlling-elitmind-remote,16800.0,25200.0,21000.0,True,False
Business Operations Analyst - RDT EPIE,Roche,Warszawa,"['Business Analysis', 'Business analysis', 'Stakeholder management', 'Communication skills']",/pl/job/business-operations-analyst-rdt-epie-roche-warszawa,14175.0,26325.0,20250.0,False,False
Business Operations Analyst - RDT EPIE,Roche,Warszawa,"['Business Analysis', 'Business analysis', 'Stakeholder management', 'Communication skills']",/pl/job/business-operations-analyst-rdt-epie-roche-warszawa,14175.0,26325.0,20250.0,False,False
Business and Systems Analyst,Scalo,Warszawa,"['Data', 'BPMN', 'UML', 'UI']",/pl/job/business-and-systems-analyst-scalo-warszawa,22680.0,24360.0,23520.0,False,False
Business Applications Analyst (Salesforce),Link Group,Warszawa,"['Business Analysis', 'Salesforce', 'Business analysis', 'Functional Consultant']",/pl/job/business-applications-analyst-salesforce-link-group-warszawa,15000.0,23000.0,19000.0,False,False
Business and Systems Analyst,Scalo,Warszawa,"['Data', 'BPMN', 'UML', 'UI']",/pl/job/business-and-systems-analyst-scalo-warszawa,22680.0,24360.0,23520.0,False,False
Business Applications Analyst (Salesforce),Link Group,Warszawa,"['Business Analysis', 'Salesforce', 'Business analysis', 'Functional Consultant']",/pl/job/business-applications-analyst-salesforce-link-group-warszawa,15000.0,23000.0,19000.0,False,False
System Analyst  NOWA,Scalo,Zdalnie,"['Data', 'Sparx Enterprise Architect', 'SQL', 'PostgreSQL']",/pl/job/system-analyst-scalo-remote-55,23520.0,25200.0,24360.0,True,False
System Analyst  NOWA,Scalo,Warszawa,"['Data', 'UML', 'BPMN', 'REST API']",/pl/job/system-analyst-scalo-warszawa-42,24360.0,26040.0,25200.0,False,False
Specjalista ds. sprawozdawczości i analiz w grupie kapitałowej (K/M)  NOWA,Audit HR,Poznań,"['Finanse', 'MS Office', 'MS Excel', 'angielski']",/pl/job/specjalista-ds-sprawozdawczosci-i-analiz-w-grupie-kapitalowej-k-m-audit-hr-poznan,8000.0,14000.0,11000.0,False,True
Senior System Analyst - AI & Integration  NOWA,Devire,Zdalnie,"['Business Analysis', 'Analiza systemowa', 'REST API', 'Git']",/pl/job/senior-system-analyst-ai-integration-devire-remote,,,,True,False
System Analyst  NOWA,Scalo,Warszawa,"['Data', 'Kafka', 'JSON', 'UML']",/pl/job/system-analyst-scalo-warszawa-41,21840.0,23520.0,22680.0,False,False
Senior System Analyst  NOWA,Antal,Zdalnie,"['Business Analysis', 'DORA', 'NIS2', 'ISO']",/pl/job/senior-system-analyst-antal-remote,,,,True,False
System Analyst  NOWA,Scalo,Warszawa,"['Data', 'XML', 'JSON', 'REST API']",/pl/job/system-analyst-scalo-warszawa-36,16800.0,18480.0,17640.0,False,False
Technology Reporting Analyst - Automation & Innovation Department  NOWA,T-Mobile Polska,Warszawa,"['Business Intelligence', 'BI', 'Power BI', 'SQL']",/pl/job/technology-reporting-analyst-automation-innovation-department-t-mobile-polska-warszawa-2,,,,False,False
System Analyst  NOWA,Scalo,Poznań,"['Data', 'Jira', 'Confluence', 'GitLab']",/pl/job/system-analyst-scalo-poznan-29,21840.0,23520.0,22680.0,False,False
System Analyst,Scalo,Warszawa,"['Data', 'UML', 'BPMN', 'RabbitMQ']",/pl/job/system-analyst-scalo-warszawa-39,23520.0,25200.0,24360.0,False,False
System Analyst,Scalo,Warszawa,"['Data', 'UML', 'BPMN', 'REST API']",/pl/job/system-analyst-scalo-warszawa-38,21840.0,23520.0,22680.0,False,False
System Analyst,Scalo,Zdalnie,"['Data', 'SQL', 'REST API', 'R']",/pl/job/system-analyst-scalo-remote-50,16800.0,18480.0,17640.0,True,False
